C,C#,D,D#,E,F,F#,G,G#,A,A#,B,ChordLabel
0.0018521019704723718,0.10387293978088379,0.0057348005733994,0.006357764124987714,0.4122214583511619,0.011607745091407964,0.023317847708874177,0.010000656796107307,0.008793289614966221,0.4094273857536688,0.004097449966161594,0.0027165602679088234,A
0.0017543216109342258,0.19992455843262513,0.0035041784822020115,0.006653594774310175,0.5197764848853035,0.011880285317220561,0.022728549837605215,0.008513968604701553,0.007223211909193076,0.21125121734795824,0.004533838296070116,0.002255790501876298,A
0.008978686770081708,0.10392176301759955,0.013654083730897364,0.014381454444390646,0.3886976888188185,0.016512341581029908,0.026045921147251298,0.014727841798299382,0.013655849773784258,0.3802426379635116,0.010136835735868864,0.009044895218466974,A
0.002665596811809058,0.13222428109142953,0.0034349593343133743,0.0032546361300601666,0.24445266152490377,0.0094362097129443,0.012709616334774274,0.009683736837950908,0.01439536599471926,0.561310727059273,0.004099507064404023,0.002332702103418322,A
0.0014430643932549208,0.10788923820647858,0.008465166872050069,0.005471120443630034,0.3687152635205545,0.005065707282339997,0.010078028198840872,0.007859056131199497,0.006652837556647986,0.4588109885758633,0.005509855009912703,0.014039673809227592,A
0.0012679682997415716,0.1319594495304224,0.00625330412321094,0.004763669123035132,0.5171759392889942,0.004677469007156022,0.010556861575528365,0.005409285291032113,0.004459379903380817,0.29725946455093527,0.005110997532851198,0.011106211773712031,A
0.008434226262521384,0.10746816664568108,0.01570702448078202,0.013466985764170799,0.34823583073488573,0.010976301797854608,0.014174729883751729,0.012483132732392481,0.012019912090530603,0.42589693380167337,0.011413418949099774,0.01972333685665634,A
0.003004750679531013,0.12061146547772962,0.010617218567180784,0.012688410276828939,0.4432871589917171,0.0057110870728459065,0.004841619440641671,0.007623260691330628,0.009923899781055588,0.3639893384398905,0.005279812889523099,0.01242197769172536,A
0.0017411233760285054,0.07109892545338041,0.0033767466670093244,0.006425478140809102,0.21880959927508267,0.029242675444166116,0.004270611888606219,0.008809343505812741,0.02247444839619705,0.6212324020774104,0.0029044630100625796,0.009614182765435039,A
0.001712341198805189,0.146833624489182,0.00295745496260365,0.005700176513082494,0.25305568362519953,0.02515256888459292,0.004033403063072844,0.008917849121063685,0.024409287373945196,0.5136604301639962,0.004315300039180526,0.009251880565275726,A
0.008532363977671773,0.07270743399455931,0.011525901941287964,0.014437752607046345,0.2105312651622067,0.032973452563173876,0.008958149276180202,0.013608238843784844,0.026704566906548443,0.5753476356942674,0.009164803974438345,0.015508435058834895,A
0.0012258783655225293,0.061008738259599654,0.0036727766923483657,0.003430034245787886,0.2048660156331142,0.01937892830231677,0.003998172206705781,0.003971896762894135,0.029310658409613922,0.659177405934808,0.0020407125621414606,0.007918782625147214,A
